gender,race_ethnicity,first_gen,international_student,financial_aid_status,engagement_variance,sleep_schedule_drift,social_activity_decline,academic_trend,missed_class_streak,financial_stress_flag,help_seeking_flag,self_report_score,support_recommended
female,multiracial,1,0,both,0.4751,0.7212,-0.4627,-0.2234,7,1,0,64.84,1
female,black,0,0,none,0.2311,0.2873,-0.1044,0.299,0,0,0,47.42,0
male,native_american,1,0,both,0.1645,0.1504,0.0,0.5092,3,0,0,49.86,0
female,white,0,0,both,0.3645,0.3843,-0.2631,0.0201,3,1,0,55.36,1
female,other,0,0,both,0.2049,0.263,-0.3009,0.4368,3,0,0,71.57,0
female,white,1,0,both,0.3274,0.1582,-0.371,-0.1037,4,0,0,71.4,0
male,hispanic_latino,0,0,pell_grant,0.3868,0.2443,0.0,-0.1038,4,0,0,65.11,0
female,white,0,0,none,0.2598,0.2428,-0.014,0.1846,2,0,0,85.13,0
male,white,0,0,loans_only,0.4048,0.3389,0.0,-0.1891,3,0,0,57.07,0
male,white,0,0,both,0.3069,0.1601,-0.0952,-0.1588,2,0,0,82.42,0
male,white,1,0,none,0.4492,0.288,-0.155,0.2188,4,1,1,63.66,0
female,white,0,0,none,0.6784,0.2243,-0.6238,-0.2905,1,0,1,74.51,0
male,multiracial,0,0,none,0.5745,0.2264,-0.5214,0.1556,2,0,0,66.11,0
male,other,1,1,both,0.572,0.2925,-0.12,0.1808,4,1,0,55.91,1
male,asian,0,0,loans_only,0.5642,0.2384,-0.3022,0.1512,3,0,0,71.99,0
female,prefer_not_to_say,0,0,both,0.239,0.3395,-0.2398,0.1661,3,1,0,50.84,0
female,asian,0,0,pell_grant,0.3506,0.237,-0.0686,0.0151,3,1,0,76.1,1
female,multiracial,1,0,loans_only,0.2398,0.2463,-0.2295,0.1686,4,0,0,95.21,0
female,white,1,0,none,0.2619,0.1788,0.0,0.579,0,0,1,58.98,0
female,white,1,0,loans_only,0.3582,0.2541,-0.3732,-0.5188,2,1,0,66.4,1
female,asian,0,0,loans_only,0.2588,0.6023,-0.6796,-0.431,0,1,0,72.13,1
female,white,0,0,none,0.3493,0.0949,0.0,-0.0418,0,0,0,51.77,0
male,black,1,0,none,0.6196,0.589,-0.1844,-0.0989,4,1,0,52.46,1
female,hispanic_latino,1,0,none,0.2215,0.2012,0.0,0.1837,3,0,0,74.85,0
male,white,0,0,loans_only,0.7387,0.5442,-0.127,-0.4809,3,0,1,66.39,0
male,white,0,0,pell_grant,0.3415,0.1938,-0.1893,0.1251,1,0,0,58.82,0
female,black,0,0,none,0.4029,0.4836,-0.2985,0.2918,3,0,0,78.21,0
male,hispanic_latino,0,1,loans_only,0.7488,0.1743,0.0,-0.4619,1,1,1,63.45,1
female,white,0,0,none,0.5401,0.2966,0.0,-0.1348,2,1,0,60.4,1
male,hispanic_latino,1,0,pell_grant,0.4004,0.2419,-0.3012,-0.1145,1,1,0,75.02,0
female,white,1,0,pell_grant,0.2415,0.1829,-0.2066,-0.3358,4,0,0,70.65,0
male,white,0,0,pell_grant,0.2617,0.2657,0.0,0.2299,1,1,0,74.85,0
female,hispanic_latino,0,0,pell_grant,0.4425,0.3614,-0.338,-0.495,0,0,0,81.73,1
female,white,0,0,loans_only,0.6296,0.3828,-0.1136,0.3467,3,0,0,56.22,0
female,multiracial,0,0,both,0.4062,0.2754,-0.074,-0.607,6,1,0,66.75,1
male,white,0,0,none,0.5882,0.2258,0.0,-0.0211,2,0,0,67.04,0
male,other,0,0,loans_only,0.3288,0.3719,0.0,0.0013,2,0,0,77.51,0
female,asian,1,0,pell_grant,0.2978,0.2409,-0.1537,0.0626,4,0,0,68.3,0
female,asian,1,0,pell_grant,0.6423,0.3521,-0.3881,-0.2269,2,0,0,60.2,0
female,black,1,0,loans_only,0.6385,0.1167,-0.4304,0.1136,5,1,0,61.2,1
female,hispanic_latino,1,0,none,0.5698,0.3531,0.0,-0.2762,1,0,0,79.75,0
female,hispanic_latino,1,0,both,0.2642,0.3931,-0.3766,-0.2542,4,1,0,47.79,1
female,hispanic_latino,1,0,loans_only,0.5617,0.1856,-0.5217,0.1424,1,0,0,66.18,0
male,white,1,0,pell_grant,0.489,0.2051,-0.1964,-0.1022,5,0,0,54.35,0
male,white,0,0,loans_only,0.2325,0.6887,-0.5423,0.0219,1,0,0,76.22,1
female,white,0,0,none,0.2543,0.5677,-0.1603,0.132,2,0,0,68.56,0
female,black,0,0,none,0.1715,0.2876,0.0,-0.1369,0,0,0,70.58,0
female,white,1,0,none,0.7101,0.2119,-0.1316,0.064,3,0,0,65.13,0
male,hispanic_latino,0,0,none,0.3003,0.1046,-0.2249,-0.1373,4,0,0,86.99,0
female,white,0,0,pell_grant,0.271,0.1619,-0.0087,-0.247,2,0,0,83.3,0
male,white,1,0,both,0.5179,0.3414,0.0,0.0545,2,1,0,55.79,0
male,hispanic_latino,0,0,pell_grant,0.2817,0.3768,-0.2651,-0.3092,1,0,0,62.16,0
male,asian,0,0,pell_grant,0.4,0.2736,0.0,0.3253,4,1,0,66.2,0
female,white,1,0,loans_only,0.2547,0.2727,0.0,0.037,1,0,0,47.89,0
male,multiracial,0,0,none,0.3446,0.1916,-0.3158,0.4144,2,0,0,48.58,0
female,white,0,0,none,0.3276,0.4187,0.0,0.8336,2,0,0,69.75,0
female,white,1,0,pell_grant,0.2098,0.1581,-0.3,-0.1488,3,0,0,82.82,0
female,white,1,0,none,0.3489,0.3199,0.0,-0.67,0,0,0,82.2,0
female,white,0,0,none,0.0861,0.615,-0.1402,0.3562,3,0,0,72.3,0
male,white,0,0,pell_grant,0.3167,0.5875,-0.0665,-0.2894,2,0,0,58.62,0
male,white,0,0,pell_grant,0.1915,0.1328,-0.3455,0.0252,6,1,0,65.07,0
female,black,0,0,pell_grant,0.413,0.1762,-0.3362,0.0063,3,1,0,66.19,1
male,hispanic_latino,1,1,none,0.4063,0.4661,-0.2162,0.0803,0,0,0,70.09,0
female,white,1,0,loans_only,0.3356,0.5603,0.0,-0.0671,2,1,0,69.15,1
female,multiracial,1,0,none,0.5624,0.0788,0.0,0.1076,1,0,0,66.99,0
female,hispanic_latino,0,0,pell_grant,0.1694,0.2778,-0.1623,-0.2312,3,0,0,70.67,0
male,white,1,0,loans_only,0.3583,0.2496,0.0,0.3016,1,0,0,48.49,0
female,white,0,0,both,0.5249,0.1228,-0.3061,-0.1855,1,0,0,60.46,0
female,white,0,0,pell_grant,0.3657,0.5385,-0.2879,-0.3027,4,1,0,50.07,1
female,asian,0,0,none,0.1133,0.1096,-0.3363,-0.2444,0,0,0,74.85,0
other_not_listed,white,0,0,none,0.5382,0.6475,-0.2314,0.2874,1,0,0,63.17,0
male,white,0,1,loans_only,0.1873,0.1699,0.0,-0.1955,4,1,0,60.33,0
male,white,1,0,pell_grant,0.3206,0.4753,-0.6428,0.2852,4,1,0,46.56,1
male,white,0,0,loans_only,0.4845,0.2981,-0.345,0.0147,1,0,0,66.83,0
male,white,0,0,both,0.2749,0.1399,-0.3484,-0.2443,3,0,0,69.71,0
female,hispanic_latino,0,0,pell_grant,0.3621,0.2153,-0.1989,0.2881,6,1,0,71.55,0
female,other,0,0,both,0.3416,0.1109,-0.2478,0.1362,2,1,0,73.24,0
male,white,0,0,both,0.3509,0.1746,-0.4005,0.006,0,0,1,75.66,0
male,white,1,0,loans_only,0.155,0.3636,0.0,0.4429,3,0,0,76.13,0
female,white,0,0,both,0.4256,0.344,-0.1084,-0.1805,2,1,0,65.26,1
female,white,1,0,loans_only,0.3029,0.2224,-0.0901,0.4435,3,0,0,65.72,0
male,hispanic_latino,0,0,pell_grant,0.2397,0.5008,-0.3908,0.2901,6,1,0,44.7,1
female,other,0,0,loans_only,0.3875,0.2949,-0.3621,0.2357,2,1,0,46.71,0
male,black,0,0,both,0.3464,0.596,0.0,-0.3453,1,0,0,51.14,0
female,white,0,0,pell_grant,0.7601,0.3713,-0.053,0.4572,2,0,0,59.57,0
female,asian,1,0,loans_only,0.6389,0.1323,0.0,-0.0691,1,0,0,56.65,0
male,asian,0,0,loans_only,0.3456,0.3362,0.0,0.2553,3,0,0,85.22,0
female,white,1,0,pell_grant,0.6548,0.2764,-0.0989,0.0039,2,0,0,84.24,0
female,multiracial,1,0,both,0.4132,0.207,-0.1838,0.0664,3,0,0,77.48,0
male,black,0,0,loans_only,0.5162,0.1944,-0.3717,-0.2701,0,0,1,65.23,0
male,black,0,0,both,0.4055,0.2312,-0.2741,0.156,2,1,0,65.39,0
female,white,0,0,pell_grant,0.1875,0.1817,-0.4056,0.5575,0,1,0,55.32,0
female,white,1,0,both,0.5452,0.3176,0.0,-0.2719,1,0,0,59.89,0
male,black,1,0,both,0.2868,0.483,-0.072,-0.0966,1,1,0,76.67,1
non_binary,white,0,0,both,0.5635,0.1576,0.0,-0.0995,2,0,1,89.15,0
female,other,0,0,none,0.5601,0.0772,-0.4121,0.3074,2,0,0,71.9,0
female,white,1,0,loans_only,0.3125,0.424,-0.3644,-0.4081,6,1,0,71.87,1
female,white,1,0,both,0.1718,0.1795,-0.1945,-0.1736,2,0,0,52.98,0
female,black,0,0,pell_grant,0.4808,0.2074,-0.2666,0.1209,2,1,0,61.24,0
female,hispanic_latino,0,0,none,0.1287,0.1991,-0.005,-0.2938,1,0,0,59.82,0
male,white,0,0,pell_grant,0.5292,0.1705,-0.2007,0.4471,0,0,0,59.13,0
female,black,1,0,both,0.4398,0.3892,0.0,0.2701,1,0,0,66.3,0
female,black,1,0,loans_only,0.4885,0.2767,0.0,-0.2257,3,0,1,69.05,0
male,hispanic_latino,0,0,both,0.1794,0.1077,-0.1021,0.6462,2,0,0,78.56,0
male,white,1,0,none,0.2801,0.2291,-0.1438,-0.2337,0,0,0,70.35,0
female,hispanic_latino,1,0,pell_grant,0.782,0.1208,0.0,-0.0327,3,0,0,68.2,0
male,hispanic_latino,0,0,both,0.4476,0.3214,-0.3167,-0.1704,3,0,1,60.36,0
male,black,0,0,none,0.3343,0.3094,-0.2914,-0.1284,0,0,1,71.26,0
male,hispanic_latino,0,0,loans_only,0.2445,0.2505,-0.3152,-0.0402,2,1,0,54.33,0
female,white,1,0,none,0.5369,0.2933,-0.0412,0.0841,0,0,0,67.61,0
female,white,0,0,loans_only,0.3599,0.2675,-0.0469,-0.3016,1,0,0,83.76,1
male,white,1,0,pell_grant,0.5645,0.3697,-0.3047,0.1453,4,0,0,48.19,0
female,white,0,0,both,0.6128,0.3102,-0.0679,-0.1139,1,0,0,58.61,0
female,hispanic_latino,1,0,both,0.3327,0.1069,-0.1481,-0.1085,4,1,0,62.2,1
female,black,1,1,pell_grant,0.1879,0.236,0.0,0.2758,3,0,0,79.2,0
male,other,0,0,both,0.1843,0.3088,-0.1381,0.0442,0,1,0,53.62,0
male,hispanic_latino,1,0,loans_only,0.3086,0.3754,-0.2642,0.0671,2,0,0,55.11,0
female,black,1,0,pell_grant,0.6342,0.3714,-0.2578,0.1614,3,0,0,54.33,0
male,hispanic_latino,0,0,pell_grant,0.4516,0.719,-0.3778,-0.2511,2,1,0,49.88,1
female,white,0,0,pell_grant,0.4105,0.2558,-0.3367,0.462,1,1,0,44.04,0
female,hispanic_latino,1,0,none,0.335,0.6345,-0.2717,0.1718,3,1,0,59.14,1
male,white,1,0,none,0.3859,0.222,0.0,0.2069,8,1,1,37.85,0
female,white,0,1,loans_only,0.4612,0.3392,0.0,0.5599,3,0,0,70.27,0
female,multiracial,0,0,pell_grant,0.3781,0.0973,-0.0139,0.1419,1,1,0,70.24,0
female,hispanic_latino,0,0,none,0.395,0.1971,-0.2452,-0.1125,0,0,0,62.97,0
non_binary,white,0,0,loans_only,0.6219,0.2167,-0.0685,0.3365,2,1,0,66.07,0
male,hispanic_latino,0,0,loans_only,0.1337,0.5977,-0.2911,0.2492,4,1,0,20.71,0
male,other,1,0,none,0.2933,0.1479,-0.0435,0.2591,4,0,0,91.47,0
male,white,0,0,loans_only,0.2988,0.3377,0.0,-0.2638,2,1,0,83.06,1
female,native_american,1,0,pell_grant,0.4167,0.6282,0.0,0.3662,1,0,0,62.32,0
male,prefer_not_to_say,0,0,both,0.2293,0.1301,-0.3859,0.3167,0,0,1,59.2,0
female,hispanic_latino,0,0,both,0.4569,0.1931,-0.1003,-0.0899,4,1,1,50.07,0
female,white,0,0,both,0.3678,0.3189,0.0,-0.2297,5,1,0,65.7,1
male,white,1,0,loans_only,0.3439,0.3857,0.0,0.0153,2,1,0,66.92,0
male,white,1,0,both,0.1778,0.4484,-0.2567,-0.0908,4,1,0,68.95,1
female,white,1,0,pell_grant,0.378,0.3932,0.0,0.4661,2,1,0,64.33,0
female,black,0,0,loans_only,0.4385,0.2464,-0.0721,0.2589,0,0,0,49.52,0
male,multiracial,1,0,loans_only,0.2277,0.5008,0.0,0.1403,2,0,0,61.3,0
male,white,0,0,pell_grant,0.2605,0.1031,-0.1269,-0.3502,4,1,1,64.99,0
male,white,0,0,none,0.2298,0.3384,-0.1718,-0.0446,1,0,1,83.09,0
female,hispanic_latino,1,0,pell_grant,0.5469,0.3127,-0.1135,0.133,5,0,0,66.83,0
female,white,0,0,loans_only,0.2416,0.285,-0.5608,0.2118,4,0,0,47.84,0
female,hispanic_latino,1,0,none,0.3761,0.2369,-0.1558,0.3619,3,0,0,63.86,0
male,multiracial,0,0,loans_only,0.3048,0.4111,-0.1756,0.1571,2,1,0,55.67,0
male,white,0,0,pell_grant,0.2149,0.2449,-0.1755,0.3773,3,0,0,66.9,0
female,white,0,0,loans_only,0.2232,0.495,-0.1609,-0.2759,0,0,0,64.1,0
female,hispanic_latino,1,0,none,0.2193,0.2577,-0.5088,-0.1711,4,0,0,63.22,0
female,white,0,0,both,0.3154,0.3001,0.0,0.2597,3,0,0,67.46,0
male,multiracial,0,0,pell_grant,0.2259,0.2735,-0.053,0.5434,1,0,0,53.99,0
male,multiracial,1,0,none,0.3348,0.2291,-0.0419,-0.1969,1,0,0,84.74,0
female,white,0,0,pell_grant,0.4662,0.2985,-0.3164,0.0746,4,1,0,62.21,0
female,hispanic_latino,0,0,pell_grant,0.302,0.3185,0.0,0.2738,1,0,0,74.54,0
male,black,1,0,none,0.1515,0.3688,0.0,0.0449,0,0,0,63.06,0
female,white,0,0,pell_grant,0.347,0.2345,-0.5303,0.0066,4,0,0,82.18,0
male,white,0,0,none,0.6102,0.2813,-0.2173,0.0436,3,0,0,68.48,0
female,native_american,1,0,pell_grant,0.4634,0.3228,-0.0388,0.4595,1,0,0,52.46,0
female,white,0,0,both,0.3427,0.2349,0.0,-0.2114,0,0,0,55.06,0
male,hispanic_latino,0,0,none,0.4039,0.1309,0.0,-0.0924,3,1,0,65.17,0
female,white,0,0,both,0.573,0.1061,0.0,-0.0039,2,0,0,78.45,0
female,white,0,0,none,0.3531,0.3372,-0.1396,-0.038,2,1,0,69.93,0
female,asian,1,1,loans_only,0.6476,0.4438,-0.1516,0.0255,0,0,0,80.83,0
female,black,1,0,loans_only,0.1505,0.214,-0.0019,0.1845,0,0,0,62.05,0
female,hispanic_latino,0,0,none,0.2312,0.4616,-0.0752,-0.3517,1,0,0,80.35,0
female,white,0,0,loans_only,0.3423,0.2548,-0.2441,-0.3592,0,1,0,78.49,1
female,asian,0,0,loans_only,0.5063,0.4212,-0.4012,0.2049,1,1,0,59.44,0
female,white,0,0,both,0.4156,0.1386,-0.2191,0.1179,2,0,0,60.65,0
male,hispanic_latino,1,0,pell_grant,0.236,0.4282,0.0,0.0825,2,1,0,79.97,0
male,white,1,0,none,0.3935,0.3194,-0.2285,0.3663,1,0,0,68.68,0
female,hispanic_latino,0,0,none,0.7128,0.2616,0.0,0.0561,3,0,0,52.28,0
female,hispanic_latino,0,0,pell_grant,0.7414,0.2055,-0.5278,0.1865,3,1,0,80.02,1
female,white,0,0,both,0.498,0.259,-0.4333,0.2492,1,1,0,59.82,0
male,hispanic_latino,1,0,none,0.3847,0.221,0.0,-0.2574,3,0,0,88.58,0
male,white,0,1,both,0.2893,0.1405,-0.2242,0.2325,1,0,0,53.66,0
female,hispanic_latino,0,0,none,0.2432,0.2277,-0.2553,-0.0996,3,1,0,76.22,0
female,hispanic_latino,1,0,loans_only,0.3143,0.3876,-0.1045,0.1375,1,0,0,67.51,0
female,asian,0,1,pell_grant,0.282,0.4018,-0.2466,0.2965,2,0,0,67.58,0
female,white,0,0,both,0.1677,0.1929,0.0,0.0343,5,1,0,72.39,1
male,white,0,0,none,0.2773,0.3018,-0.0576,0.1285,0,0,0,65.26,0
female,white,0,0,both,0.3031,0.3558,-0.1546,-0.3055,3,1,1,55.96,0
female,white,0,0,loans_only,0.2883,0.4644,-0.2408,-0.0088,1,1,0,63.93,1
female,hispanic_latino,0,0,both,0.1421,0.1267,-0.1119,-0.3929,1,1,0,68.79,0
female,white,1,0,both,0.224,0.3794,-0.2328,-0.1741,2,0,0,55.19,0
female,white,0,0,loans_only,0.5886,0.337,-0.1699,0.3669,0,0,0,78.06,0
male,white,0,0,both,0.5511,0.155,-0.0101,0.0028,1,1,0,43.67,0
female,hispanic_latino,1,0,loans_only,0.433,0.5014,-0.5372,-0.5106,1,1,0,58.59,1
male,black,1,0,loans_only,0.1655,0.2714,0.0,-0.0071,1,0,0,75.08,0
female,white,0,0,loans_only,0.4919,0.136,-0.1361,-0.3262,2,0,0,73.72,0
male,other,1,0,none,0.6832,0.2256,0.0,0.2253,2,0,1,80.85,0
male,white,0,0,pell_grant,0.4289,0.2209,0.0,-0.0747,0,0,0,94.47,0
non_binary,hispanic_latino,1,0,loans_only,0.2143,0.1169,-0.4951,0.2788,3,1,0,61.57,0
male,white,1,0,loans_only,0.513,0.4101,-0.0765,-0.0573,3,1,0,58.27,0
male,black,0,0,both,0.3831,0.2602,0.0,-0.4504,0,0,0,92.09,0
male,white,0,0,pell_grant,0.6032,0.1547,-0.3159,0.2985,1,0,0,62.73,0
